shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914339,39.627548,-106.503792,202,2790.9836326
p_914339,39.627491,-106.50399,203,2809.12291445
p_914339,39.62748,-106.504074,204,2816.43750434
p_914339,39.627476,-106.504295,205,2835.41689491
p_914339,39.627491,-106.504486,206,2851.8997567
p_914339,39.627506,-106.504631,207,2864.45978803
p_914339,39.627537,-106.504776,208,2877.37594193
p_914339,39.627583,-106.504913,209,2890.19916792
p_914339,39.627628,-106.505066,210,2904.25319685
p_914339,39.628319,-106.507027,211,3089.27188275
p_914339,39.628448,-106.507378,212,3122.63742051
p_914339,39.628525,-106.507515,213,3137.1782148
p_914339,39.628967,-106.508446,214,3230.9714244
p_914339,39.629036,-106.508606,215,3246.69991801
p_914339,39.629101,-106.508766,216,3262.21693507
p_914339,39.629147,-106.508896,217,3274.49099979
p_914339,39.629158,-106.508926,218,3277.34150857
p_914339,39.62978,-106.510712,219,3445.51002742
p_914339,39.629887,-106.51104,220,3476.07323523
p_914339,39.629929,-106.5112,221,3490.5796562
p_914339,39.629971,-106.511368,222,3505.73804822
p_914339,39.629993,-106.51152,223,3519.01433493
p_914339,39.630222,-106.51252,224,3608.55290044
p_914339,39.630264,-106.512695,225,3624.28414635
p_914339,39.630318,-106.512871,226,3640.54021373
p_914339,39.630619,-106.513741,227,3722.36735008
p_914339,39.630646,-106.513824,228,3730.09797172
p_914339,39.630756,-106.514114,229,3757.82925545
p_914339,39.630817,-106.514229,230,3769.80192907
p_914339,39.630882,-106.514343,231,3781.96209964
p_914339,39.630955,-106.514458,232,3794.73576586
p_914339,39.631035,-106.514557,233,3807.02934209
p_914339,39.631287,-106.514854,234,3844.88385812
p_914339,39.631695,-106.51532,235,3905.32019952
p_914339,39.631824,-106.515457,236,3923.85313923
p_914339,39.631939,-106.515564,237,3939.58238277
p_914339,39.632164,-106.515648,238,3965.58363902
p_914339,39.632225,-106.515656,239,3972.3910554
p_914339,39.632408,-106.515671,240,3992.74986942
p_914339,39.632549,-106.515663,241,4008.41981609
p_914339,39.632866,-106.51564,242,4043.67090387
p_914339,39.633064,-106.51564,243,4065.65436623
p_914339,39.63319,-106.51564,244,4079.64384267
p_914339,39.633293,-106.515648,245,4091.10028919
p_914339,39.633392,-106.515671,246,4102.26796181
p_914339,39.633492,-106.515717,247,4114.05211195
p_914339,39.633587,-106.515778,248,4125.8281904
p_914339,39.633678,-106.515854,249,4137.85523656
p_914339,39.633759,-106.515945,250,4149.76778378
p_914339,39.633823,-106.516045,251,4160.91189378
p_914339,39.633953,-106.516273,252,4185.23155022
p_914339,39.634048,-106.516457,253,4204.22541983
p_914339,39.634125,-106.516602,254,4219.32637831
p_914339,39.634178,-106.516708,255,4230.16310047
p_914339,39.634201,-106.516747,256,4234.37387024
p_914339,39.634235,-106.516808,257,4240.8293581
p_914339,39.634464,-106.517197,258,4282.8014184
p_914339,39.634476,-106.51722,259,4285.183376
p_914339,39.634518,-106.517296,260,4293.20290793
p_914339,39.63467,-106.517624,261,4326.03085236
p_914339,39.634754,-106.517815,262,4344.89445271
p_914339,39.63464,-106.517998,263,4365.06890328
p_914339,39.634281,-106.518623,264,4431.90867598
p_914339,39.633987,-106.519157,265,4488.18536676
p_914339,39.633926,-106.519257,266,4499.1200897
p_914339,39.633873,-106.519379,267,4511.1334387
p_914339,39.633862,-106.519463,268,4518.44737552
p_914339,39.633926,-106.519477,269,4525.65406842
p_914339,39.633893,-106.519562,270,4533.81934756
p_914339,39.633837,-106.519712,271,4548.11902858
p_914339,39.633784,-106.519853,272,4561.57816444
p_914339,39.633763,-106.519913,273,4567.23219077
p_914339,39.633724,-106.519974,274,4574.02726971
p_914339,39.633506,-106.520355,275,4614.71714318
p_914339,39.633418,-106.520523,276,4632.13759265
p_914339,39.63338,-106.520631,277,4642.32406252
p_914339,39.633366,-106.520722,278,4650.28943857
p_914339,39.633381,-106.520904,279,4666.00242667
p_914339,39.633407,-106.520984,280,4673.45234002
p_914339,39.633561,-106.521427,281,4715.1501063
p_914339,39.633585,-106.521492,282,4721.33383996
p_914339,39.63369,-106.521643,283,4738.76797406
p_914339,39.633755,-106.521684,284,4746.79735692
p_914339,39.633872,-106.521722,285,4760.19094621
p_914339,39.63411,-106.52176,286,4786.81612305
p_914339,39.6342,-106.52176,287,4796.808608
p_914339,39.634325,-106.522004,288,4821.93591236
p_914339,39.63435,-106.522038,289,4825.96380986
p_914339,39.634367,-106.522064,290,4828.88691267
p_914339,39.634392,-106.522089,291,4832.39555674
p_914339,39.63441,-106.52212,292,4835.7236742
p_914339,39.634421,-106.522153,293,4838.80868456
p_914339,39.634429,-106.52217,294,4840.51713602
p_914339,39.634442,-106.522204,295,4843.77332436
p_914339,39.634449,-106.522257,296,4848.38914105
p_914339,39.634444,-106.522293,297,4851.52911289
p_914339,39.634435,-106.522327,298,4854.61423428
p_914339,39.634423,-106.522361,299,4857.82275198
p_914339,39.634403,-106.522387,300,4860.9712173
p_914339,39.634383,-106.522407,301,4863.77813236
